slug,club_name,location,institution,specialty,is_public,contact_info
kucc,KUCC (Kathmandu University),"Dhulikhel, Kavrepalanchok",Kathmandu University,"Open Source, AI & Machine Learning, Competitive Programming",TRUE,"{""email"": ""kucc@ku.edu.np"", ""website"": ""https://kucc.ku.edu.np""}"
nosk,NOSK (NCIT),"Balkumari, Lalitpur",Nepal College of Information Technology,"Open Source, Web & App Development",TRUE,"{""email"": ""nosk@ncit.edu.np"", ""facebook"": ""https://facebook.com/nosk.ncit""}"
ctrc,CTRC (Nepal Engineering College),"Bhaktapur, Bhaktapur",Nepal Engineering College,"Hardware & Electronics, Robotics & Automation",FALSE,"{""email"": ""ctrc@nec.edu.np""}"
csitabmc,CSITABMC (Butwal Multiple Campus),"Butwal, Rupandehi",Butwal Multiple Campus,"Web & App Development, Open Source, Community Events",TRUE,"{""email"": ""csitabmc@gmail.com"", ""facebook"": ""https://facebook.com/csitabmc""}"
csitan,CSITAN (National Network),"Kathmandu, Kathmandu",Independent (Multi-campus),"Professional Development, Open Source, Events",TRUE,"{""email"": ""info@csitan.org.np"", ""website"": ""https://csitan.org.np""}"
ku-robotics-club,KU Robotics Club (Kathmandu University),"Dhulikhel, Kavrepalanchok",Kathmandu University,"Robotics & Automation, AI & Machine Learning",FALSE,"{""email"": ""robotics@ku.edu.np""}"
deerwalk-developers-circle,Deerwalk Developers Circle (DWIT),"Sifal, Kathmandu",Deerwalk Institute of Technology,"Open Source, Software Engineering",FALSE,"{""email"": ""ddc@deerwalk.edu.np""}"
prime-it-club,Prime IT Club (Prime College),"Khusibu, Kathmandu",Prime College,"Web & App Development, UI/UX Design, Digital Marketing",TRUE,"{""email"": ""primeit@prime.edu.np""}"
softwarica-tech-club,Softwarica Tech Club (Softwarica College),"Dillibazar, Kathmandu",Softwarica College of IT & E-Commerce,"Cybersecurity, Web & App Development, UI/UX Design",TRUE,"{""email"": ""techclub@softwarica.edu.np""}"
texas-tech-club,Texas Tech Club (Texas College),"Mitrapark, Kathmandu",Texas College of Management & IT,"Data Science & Analytics, Cloud Computing",TRUE,"{""email"": ""info@texasintl.edu.np""}"
amrit-campus-it-club,Amrit Campus IT Club (ASCOL),"Lainchaur, Kathmandu",Amrit Science Campus,"Cybersecurity, Competitive Programming",TRUE,"{""email"": ""itclub@amritcampus.edu.np""}"
st-xavier-s-tech-club,St. Xavier’s Tech Club (St. Xavier’s College),"Maitighar, Kathmandu",St. Xavier’s College,"AI & Machine Learning, Data Science & Analytics",FALSE,"{""email"": ""techclub@stx.edu.np""}"
pokhara-csit-club,Pokhara CSIT Club (Prithvi Narayan Campus),"Pokhara, Kaski",Prithvi Narayan Campus,"Web & App Development, Cybersecurity, Digital Literacy",TRUE,"{""email"": ""csitclub@pnc.edu.np""}"
lumbini-ict-club,Lumbini ICT Club (Lumbini Engineering College),"Butwal, Rupandehi",Lumbini Engineering College,"Networking, Cloud Computing",FALSE,"{""email"": ""ictclub@lec.edu.np""}"
hcoe-robotics-club,HCOE Robotics Club (Himalaya College of Engineering),"Patan, Lalitpur",Himalaya College of Engineering,"Robotics & Automation, Embedded Systems",FALSE,"{""email"": ""robotics@hcoe.edu.np""}"
sagarmatha-tech-club,Sagarmatha Tech Club (Sagarmatha Engineering College),"Sanepa, Lalitpur",Sagarmatha Engineering College,"Software Engineering, DevOps",TRUE,"{""email"": ""tech@sagarmatha.edu.np""}"
kantipur-tech-society,Kantipur Tech Society (Kantipur Engineering College),"New Baneshwor, Kathmandu",Kantipur Engineering College,"Web & App Development, UI/UX Design, Digital Marketing",TRUE,"{""email"": ""kts@kec.edu.np""}"
birat-csit-club,Birat CSIT Club (Mahendra Morang Campus),"Biratnagar, Morang",Mahendra Morang Adarsha Multiple Campus,"Cybersecurity, Digital Literacy",TRUE,"{""email"": ""csit@mmamc.edu.np""}"
mid-western-tech-club,Mid-Western Tech Club (Mid-Western University),"Birendranagar, Surkhet",Mid-Western University,"Data Science & Analytics, Cloud Computing",TRUE,"{""email"": ""techclub@mu.edu.np""}"
far-western-it-circle,Far-Western IT Circle (Far-Western University),"Dhangadhi, Kailali",Far-Western University,"Cybersecurity, Networking",TRUE,"{""email"": ""fwit@fwu.edu.np""}"
janakpur-dev-club,Janakpur Dev Club (RRMC),"Janakpur, Dhanusha",Ramsworup Ramsagar Multiple Campus,"Web & App Development, Digital Literacy",TRUE,"{""email"": ""devclub@rrmc.edu.np""}"
gandaki-tech-circle,Gandaki Tech Circle (GCES),"Lamachaur, Kaski",Gandaki College of Engineering and Science,"Cybersecurity, AI & Machine Learning",TRUE,"{""email"": ""gces.tech@gces.edu.np""}"
