slug,degree_code,full_name,university,duration,eligibility,focus_area,admission_process
bsc-csit,BSc.CSIT,Bachelor of Science in Computer Science and Information Technology,"Pokhara University (PoU), Purbanchal University (PU), Mid-Western University (MWU)",4 Years / 8 Semesters,10+2 Science (Physics & Mathematics) or equivalent with minimum 45% aggregate OR A-Level with minimum D grade,"Software Development, Networking, Database Management, Web Technologies, Artificial Intelligence, Cybersecurity","Step 1 Entrance Exam: Conducted by TU (IOST), 100 marks, pass mark = 35. | Step 2 Merit List: Published based on entrance score + college priority. | Step 3 Counseling: Students select preferred campus via TU portal. | Step 4 Admission: Final enrollment at assigned campus after document verification."
bit,BIT,Bachelor in Information Technology,"Tribhuvan University (TU), Purbanchal University (PU)",4 Years / 8 Semesters,10+2 Science or equivalent with ≥45% aggregate OR A-Level with ≥D grade,"Information Systems, Software Engineering, Networking, Database Administration, Web Development",Step 1 Entrance Exam: Conducted by respective university. | Step 2 Merit List: Based on entrance score. | Step 3 Counseling: If applicable by university. | Step 4 Admission: Enrollment after verification.
bca,BCA,Bachelor in Computer Applications,"Tribhuvan University (TU), Pokhara University (PoU), Far-Western University (FWU)",4 Years / 8 Semesters,10+2 in any stream with ≥40% aggregate (Mathematics/Computer Science preferred),"Programming, Web Development, Database Systems, Mobile Application Development, IT Project Management",Step 1 Merit List: Based on +2 marks or entrance (varies by university). | Step 2 Admission: Direct enrollment after verification.
be-computer,BE Computer,Bachelor of Engineering in Computer Engineering,"Tribhuvan University (TU), Kathmandu University (KU), Pokhara University (PoU)",4 Years / 8 Semesters,"10+2 Science with Physics, Chemistry, Mathematics; ≥50% aggregate OR A-Level equivalent","Computer Architecture, Operating Systems, Software Engineering, Networking, AI, Embedded Systems",Step 1 Entrance Exam: Conducted by respective university. | Step 2 Merit List: Based on exam score. | Step 3 Counseling: Campus allocation. | Step 4 Admission: Final enrollment.
be-software,BE Software,Bachelor of Engineering in Software Engineering,Kathmandu University (KU),4 Years / 8 Semesters,10+2 Science with ≥50% aggregate OR A-Level equivalent,"Software Design, Programming, Project Management, Cloud Computing, AI",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-datasci,BSc DataSci,Bachelor of Science in Data Science,"Kathmandu University (KU), Pokhara University (PoU)",4 Years / 8 Semesters,10+2 Science with Mathematics; ≥50% aggregate,"Data Analytics, Machine Learning, Statistics, Big Data, Cloud Computing",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-ai,BSc AI,Bachelor of Science in Artificial Intelligence,Kathmandu University (KU),4 Years / 8 Semesters,10+2 Science with Mathematics; ≥50% aggregate,"Machine Learning, Deep Learning, Robotics, Natural Language Processing",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-cybersec,BSc CyberSec,Bachelor of Science in Cybersecurity,Pokhara University (PoU),4 Years / 8 Semesters,10+2 Science with ≥45% aggregate OR A-Level equivalent,"Network Security, Ethical Hacking, Digital Forensics, Cryptography",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-cloudnet,BSc CloudNet,Bachelor of Science in Cloud Computing & Networking,Pokhara University (PoU),4 Years / 8 Semesters,10+2 Science with ≥45% aggregate OR A-Level equivalent,"Cloud Infrastructure, Networking, Virtualization, Security",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-multimedia,BSc Multimedia,Bachelor of Science in Multimedia & Animation,Purbanchal University (PU),4 Years / 8 Semesters,10+2 in any stream with ≥40% aggregate,"Animation, Graphics Design, Multimedia Systems, Game Development",Step 1 Merit List. | Step 2 Admission.
bba-is,BBA IS,Bachelor of Business Administration in Information Systems,"Tribhuvan University (TU), Pokhara University (PoU)",4 Years / 8 Semesters,10+2 in any stream with ≥45% aggregate,"Information Systems, IT Management, Business Analytics",Step 1 Merit List. | Step 2 Admission.
bsc-bioinfo,BSc BioInfo,Bachelor of Science in Bioinformatics,Kathmandu University (KU),4 Years / 8 Semesters,10+2 Science with Biology & Mathematics; ≥50% aggregate,"Computational Biology, Genomics, Data Analysis",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-compmath,BSc CompMath,Bachelor of Science in Computational Mathematics,Kathmandu University (KU),4 Years / 8 Semesters,10+2 Science with Mathematics; ≥50% aggregate,"Applied Mathematics, Algorithms, Simulation, Data Science",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-ece,BSc ECE,Bachelor of Science in Electronics & Communication Engineering (IT Focus),"Tribhuvan University (TU), Kathmandu University (KU)",4 Years / 8 Semesters,10+2 Science with Physics & Mathematics; ≥50% aggregate,"Electronics, Communication Systems, Networking, IT Applications",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
bsc-digitalforensics,BSc DigitalForensics,Bachelor of Science in Digital Forensics,Pokhara University (PoU),4 Years / 8 Semesters,10+2 Science with ≥45% aggregate OR A-Level equivalent,"Digital Evidence, Cybercrime Investigation, Security Tools",Step 1 Entrance Exam. | Step 2 Merit List. | Step 3 Admission.
