slug,field_name,short_description,description_full,tech_stack_hint,demand_level,icon_name
web-development,Web Development,Focuses on building websites and web apps for the internet.,"Web Development is a foundational IT field that involves designing, developing, and maintaining websites and web-based applications. It includes both frontend (user interface) and backend (server-side logic) development. Students in CSIT, BIT, and BCA often begin their careers here due to its accessibility and high demand.","HTML, CSS, JavaScript, React, Node.js",High,code
mobile-app-development,Mobile App Development,Involves creating apps for smartphones and tablets.,"Mobile App Development focuses on building applications for Android and iOS platforms. In Nepal’s mobile-first economy, this field is booming with opportunities in fintech, e-commerce, and service-based apps.","Flutter, Kotlin, Swift, React Native",High,smartphone
software-engineering,Software Engineering,Builds large-scale software systems and applications.,"Software Engineering is the backbone of IT, focusing on designing, developing, testing, and maintaining software systems. It emphasizes problem-solving, algorithms, and software architecture. Ideal for students aiming for stable, high-paying careers.","Java, Python, Git, C++, Agile, GitHub",High,terminal
cyber-security,Cyber Security,Protects systems and data from digital threats.,"Cyber Security ensures the safety of digital assets by preventing unauthorized access, data breaches, and cyberattacks. With rising digital transactions in Nepal, this field is critical for banks, government, and enterprises.","Linux, Firewalls, Wireshark, Kali Linux, Cryptography",High,shield
data-science,Data Science,Extracts insights from data using programming and statistics.,"Data Science combines programming, statistics, and domain knowledge to analyze large datasets. It’s essential for decision-making in sectors like banking, healthcare, and marketing. Students with strong math and coding skills thrive here.","Python, SQL, Pandas, NumPy, Jupyter",High,bar-chart
cloud-computing,Cloud Computing,"Manages scalable, on-demand computing resources online.","Cloud Computing enables organizations to store and process data on remote servers. As Nepali companies adopt cloud platforms, demand for cloud professionals is growing.","AWS, Azure, Google Cloud, Docker, Kubernetes",High,cloud
artificial-intelligence-machine-learning,Artificial Intelligence & Machine Learning,Builds systems that learn and make decisions.,"AI & ML are cutting-edge fields that focus on creating intelligent systems capable of learning from data. With global and local startups integrating AI, this field offers exciting opportunities for innovation.","Python, TensorFlow, Scikit-learn, OpenCV",High,brain
ui-ux-design,UI/UX Design,Designs user-friendly and visually appealing interfaces.,UI/UX Design focuses on enhancing user satisfaction by improving the usability and aesthetics of digital products. It’s ideal for creative students interested in design and human-computer interaction.,"Figma, Adobe XD, Sketch, HTML/CSS",Medium ,design_services
devops,DevOps,Integrates development and IT operations for faster delivery.,"DevOps bridges the gap between software development and IT operations. It emphasizes automation, continuous integration, and deployment, making it vital for scalable tech companies.","Jenkins, Docker, Git, CI/CD, Kubernetes",Medium ,sync
quality-assurance,Quality Assurance (QA),Ensures software is reliable and bug-free.,QA involves testing software to identify bugs and ensure quality before release. It’s a great entry point for students to understand software behavior and development cycles.,"Selenium, JUnit, Postman, TestNG",Medium ,bug_report
digital-marketing,Digital Marketing,Promotes products/services using online platforms.,"Digital Marketing blends technology with creativity to reach audiences via SEO, social media, and content strategies. It’s ideal for students who enjoy both tech and communication.","SEO, Google Ads, Meta Ads, Canva, Analytics",Medium ,campaign
networking-system-administration,Networking & System Administration,Manages computer networks and IT infrastructure.,"This field focuses on configuring and maintaining networks, servers, and IT systems. It’s essential for ISPs, banks, and government offices in Nepal.","Cisco, Linux, Windows Server, Networking Tools",Medium ,router
database-management,Database Management,Organizes and secures large volumes of data.,"Database Management involves designing, maintaining, and securing databases. It’s crucial for any organization that handles structured data.","SQL, MySQL, PostgreSQL, MongoDB",Medium ,storage
it-project-management,IT Project Management,Oversees planning and execution of tech projects.,IT Project Management combines technical knowledge with leadership and communication skills to deliver successful software and infrastructure projects.,"Jira, Trello, Agile, Scrum, MS Project",Medium ,	assignment
blockchain,Blockchain,Builds decentralized apps and secure digital ledgers.,"Blockchain is an emerging field focused on secure, transparent data storage and transactions. It’s gaining traction in fintech and global remote work opportunities.","Solidity, Ethereum, Smart Contracts, Web3.js",Low,currency_bitcoin
