slug,role_name,salary_range,market_demand,key_skills,job_summary,description
blockchain-developer,Blockchain Developer,"NPR 80,000 – 180,000 per month",Low,"[""Blockchain Basics"",""Solidity"",""Smart Contracts"",""Web3"",""Cryptography""]","Build secure, decentralized applications and digital contracts that run without a central authority, powering the future of Web3 systems.","A blockchain developer builds decentralized applications and smart contracts. While opportunities are limited in Nepal, this skill is highly valued in the global tech market."
game-developer,Game Developer,"NPR 30,000 – 70,000 per month",Low,"[""Unity"",""C#"",""Game Physics"",""Animation"",""Problem Solving""]","Design and develop interactive digital games that combine creativity, logic, and technology for players around the world.",A game developer creates interactive games for mobile and desktop platforms. This field has very few companies in Nepal but offers opportunities in the international gaming industry.
ar-vr-developer,AR/VR Developer,"NPR 60,000 – 140,000 per month",Low,"[""Unity"",""C#"",""3D Modeling"",""AR/VR SDKs"",""Graphics Programming""]",Create immersive digital experiences that blend the real and virtual world using advanced 3D technologies.,An AR/VR developer builds augmented and virtual reality applications. This is an emerging field globally but still rare in the Nepalese IT industry.
erp-developer,ERP Developer (Odoo/SAP),"NPR 40,000 – 90,000 per month",Medium,"[""Odoo"",""Python"",""ERP Concepts"",""Database"",""Business Processes""]",Develop and customize business management systems that help organizations run their daily operations efficiently.,An ERP developer customizes enterprise software for organizations. This role is growing in Nepal as businesses adopt digital management systems.
business-analyst,Business Analyst (IT),"NPR 35,000 – 80,000 per month",Medium,"[""Requirement Analysis"",""Documentation"",""Communication"",""UML"",""Agile""]",Analyze business problems and design smart software solutions that connect client needs with technical teams.,A business analyst bridges the gap between clients and developers by analyzing requirements and planning system solutions.
network-engineer,Network Engineer,"NPR 30,000 – 70,000 per month",Medium,"[""Networking"",""Cisco"",""Routing"",""Switching"",""Network Security""]",Build and manage reliable network systems that keep organizations connected and communicating smoothly.,"A network engineer manages and maintains computer networks for organizations. This role is common in ISPs, banks, and large institutions."
ai-machine-learning-engineer,AI / Machine Learning Engineer,"NPR 60,000 – 140,000 / month",Medium,"[""Python"",""TensorFlow"",""Machine Learning"",""Data Processing"",""Deep Learning""]","Develop intelligent systems that learn from data and make automated, smart decisions.",Develops AI-based systems. This role connects Nepal students to cutting-edge global AI opportunities.
frontend-developer,Frontend Developer,"NPR 25,000 – 60,000 / month",High,"[""HTML"",""CSS"",""JavaScript"",""React"",""Git"",""Responsive Design"",""REST API""]","Create engaging, responsive website interfaces that users see, feel, and interact with every day.","A frontend developer creates the visual part of websites and web applications that users see and interact with. With strong frontend skills, students can work in Nepalese IT companies as well as take remote projects from international clients."
backend-developer,Backend Developer,"NPR 30,000 – 70,000 / month",High,"[""Node.js"",""Express"",""PHP"",""Laravel"",""SQL"",""REST API"",""Git""]","Develop the server, database, and application logic that quietly powers websites and mobile apps behind the scenes.","A backend developer works behind the scenes, building the server, database, and APIs that make applications function. This role is highly demanded in Nepal’s startups, software companies, and global outsourcing firms."
full-stack-developer,Full Stack Developer,"NPR 40,000 – 90,000 per month",High,"[""HTML"",""CSS"",""JavaScript"",""React"",""Node.js"",""Database"",""Git"",""API Integration""]","Build complete web applications from user interface to server logic, handling the entire system end to end.","A full stack developer can handle both frontend and backend development. This versatility allows students to work in product companies, freelancing platforms, and remote international jobs."
mobile-app-developer,Mobile App Developer,"NPR 35,000 – 80,000 per month",High,"[""Flutter"",""Dart"",""Firebase"",""REST API"",""UI Design"",""Git""]",Design and develop mobile applications that run smoothly on Android and iOS devices for users everywhere.,A mobile app developer builds applications for Android and iOS devices. Many Nepalese developers in this field work on international projects through outsourcing and freelancing.
ui-ux-designer,UI/UX Designer,"NPR 25,000 – 60,000 / month",High,"[""Figma"",""Wireframing"",""Prototyping"",""User Research"",""Design Principles""]",Design intuitive and visually appealing interfaces that make digital products easy and enjoyable to use.,Designs user-friendly interfaces. UI/UX designers often work remotely with international product teams.
